Adj_Close,Close,Date,High,Low,Open,Symbol,Volume
14.709847,99.875,1989-10-27,100.875,99.50,100.25,IBM,8436400
14.654616,99.50,1989-10-30,100.75,99.375,100.50,IBM,4741600
14.765078,100.25,1989-10-31,101.375,99.875,100.00,IBM,7036000
14.728257,100.00,1989-11-01,100.375,99.625,100.25,IBM,7224400
14.591842,97.875,1989-11-02,99.625,96.75,99.125,IBM,10778000
14.685021,98.50,1989-11-03,98.875,97.875,97.875,IBM,4481600
14.405484,96.625,1989-11-06,98.125,96.50,98.125,IBM,8018400
14.517298,97.375,1989-11-07,97.75,96.25,96.50,IBM,5996400
14.424119,96.75,1989-11-08,98.00,96.75,97.625,IBM,6315200
14.517298,97.375,1989-11-09,97.50,96.50,96.875,IBM,6111600
14.629113,98.125,1989-11-10,98.625,97.625,97.875,IBM,5310400
14.647749,98.25,1989-11-13,98.875,97.75,98.375,IBM,5713600
14.610478,98.00,1989-11-14,99.25,97.75,98.75,IBM,6759600
14.591842,97.875,1989-11-15,98.50,97.125,98.375,IBM,5221200
14.480027,97.125,1989-11-16,98.25,96.00,98.00,IBM,7245200
14.7782,99.125,1989-11-17,99.75,96.75,97.00,IBM,9109200
14.722292,98.75,1989-11-20,99.375,98.00,99.125,IBM,4998800
14.834107,99.50,1989-11-21,99.75,98.50,99.00,IBM,4511600
14.927286,100.125,1989-11-22,100.50,99.375,99.625,IBM,4517600
14.964558,100.375,1989-11-24,100.75,100.25,100.25,IBM,2555200
14.815471,99.375,1989-11-27,100.75,98.25,100.50,IBM,4981600
14.740928,98.875,1989-11-28,99.375,98.50,99.125,IBM,4630800
14.573206,97.75,1989-11-29,98.625,97.50,98.50,IBM,3826000
14.55457,97.625,1989-11-30,98.125,96.875,97.50,IBM,4005200
14.480027,97.125,1989-12-01,98.125,96.875,97.625,IBM,5736800
14.796836,99.25,1989-12-04,99.50,97.375,97.375,IBM,8107600
14.852743,99.625,1989-12-05,101.875,99.625,101.75,IBM,8866800
14.703657,98.625,1989-12-06,99.25,98.50,99.00,IBM,5335200
14.610478,98.00,1989-12-07,99.25,97.625,98.875,IBM,5524800
14.442755,96.875,1989-12-08,98.125,96.50,98.00,IBM,4910400
14.33094,96.125,1989-12-11,96.75,95.50,96.625,IBM,6948800
14.461391,97.00,1989-12-12,97.00,95.625,96.125,IBM,8408400
14.293669,95.875,1989-12-13,97.375,95.625,96.875,IBM,5335600
14.181854,95.125,1989-12-14,95.50,95.00,95.125,IBM,5546000
14.163218,95.00,1989-12-15,95.25,94.00,95.25,IBM,12173200
13.958224,93.625,1989-12-18,95.25,93.375,94.625,IBM,7727600
14.125946,94.75,1989-12-19,95.25,93.375,93.625,IBM,8968800
14.107311,94.625,1989-12-20,95.125,93.875,94.875,IBM,6065200
14.181854,95.125,1989-12-21,95.375,94.375,94.50,IBM,7221600
14.219125,95.375,1989-12-22,95.75,95.125,95.25,IBM,4020400
14.088675,94.50,1989-12-26,95.50,94.25,95.125,IBM,2728800
14.125946,94.75,1989-12-27,95.375,94.50,94.75,IBM,4662800
14.032767,94.125,1989-12-28,95.125,94.00,94.875,IBM,4769200
14.032767,94.125,1989-12-29,94.625,94.00,94.25,IBM,6549600
14.610478,98.00,1990-01-02,98.125,94.50,94.75,IBM,7041600
14.740928,98.875,1990-01-03,99.50,98.375,98.75,IBM,9464000
14.908651,100.00,1990-01-04,100.375,98.875,99.00,IBM,9674800
14.871379,99.75,1990-01-05,101.625,99.50,99.875,IBM,7570000
14.964558,100.375,1990-01-08,100.875,99.25,99.25,IBM,4625200
14.815471,99.375,1990-01-09,101.25,99.375,100.50,IBM,7048000
14.759564,99.00,1990-01-10,100.00,98.625,99.50,IBM,5945600
14.890015,99.875,1990-01-11,100.375,99.375,99.50,IBM,5905600
14.591842,97.875,1990-01-12,99.25,97.625,98.625,IBM,5390800
14.629113,98.125,1990-01-15,98.375,97.25,97.625,IBM,4035600
14.927286,100.125,1990-01-16,100.375,97.50,97.50,IBM,8220400
14.740928,98.875,1990-01-17,100.875,98.375,100.375,IBM,8926000
14.834107,99.50,1990-01-18,99.625,97.625,98.00,IBM,6926400
14.703657,98.625,1990-01-19,99.875,98.50,99.75,IBM,6594800
14.405484,96.625,1990-01-22,99.125,96.50,98.75,IBM,6882800
14.424119,96.75,1990-01-23,98.25,96.625,97.00,IBM,5922800
14.535934,97.50,1990-01-24,97.875,95.50,95.75,IBM,9820400
14.293669,95.875,1990-01-25,97.875,95.00,97.875,IBM,6792400
14.442755,96.875,1990-01-26,97.25,95.125,96.125,IBM,7345600
14.498663,97.25,1990-01-29,97.75,95.50,97.375,IBM,5153600
14.498663,97.25,1990-01-30,97.625,95.75,97.375,IBM,8646800
14.703657,98.625,1990-01-31,98.625,97.625,98.00,IBM,8452000
14.573206,97.75,1990-02-01,99.75,97.75,98.625,IBM,6903600
14.666385,98.375,1990-02-02,98.75,97.875,97.875,IBM,6064400
15.037705,99.625,1990-02-05,99.875,97.50,97.625,IBM,5299200
15.245252,101.00,1990-02-06,101.375,98.625,99.625,IBM,10808000
15.566006,103.125,1990-02-07,103.75,100.625,100.75,IBM,12057600
15.509402,102.75,1990-02-08,103.875,101.875,103.625,IBM,7932000
15.471666,102.50,1990-02-09,103.25,102.00,102.875,IBM,5061600
15.26412,101.125,1990-02-12,102.375,100.625,102.375,IBM,4766400
15.584874,103.25,1990-02-13,103.25,101.25,101.875,IBM,7168400
15.660345,103.75,1990-02-14,104.25,103.25,103.375,IBM,6006800
15.660345,103.75,1990-02-15,104.625,103.75,104.125,IBM,5704000
15.622609,103.50,1990-02-16,104.50,103.375,104.50,IBM,8805600
15.52827,102.875,1990-02-20,103.125,102.25,102.625,IBM,5599600
15.830156,104.875,1990-02-21,105.125,102.00,102.25,IBM,8096400
15.584874,103.25,1990-02-22,105.50,103.25,105.00,IBM,9185600
15.490534,102.625,1990-02-23,103.875,102.00,102.75,IBM,6251600
15.698081,104.00,1990-02-26,104.125,102.50,103.00,IBM,5486000
15.660345,103.75,1990-02-27,105.50,103.625,104.125,IBM,6890800
15.679213,103.875,1990-02-28,104.625,103.125,103.625,IBM,5761200
15.698081,104.00,1990-03-01,104.375,103.375,103.75,IBM,4490800
15.830156,104.875,1990-03-02,105.375,104.00,104.00,IBM,5690000
15.849024,105.00,1990-03-05,105.875,104.625,104.875,IBM,5509200
15.962231,105.75,1990-03-06,105.75,104.25,105.25,IBM,5100800
15.924496,105.50,1990-03-07,106.25,105.25,106.00,IBM,6158400
16.15091,107.00,1990-03-08,107.375,106.00,106.00,IBM,6947600
16.075439,106.50,1990-03-09,107.375,106.25,107.00,IBM,7003200
16.264117,107.75,1990-03-12,107.75,106.25,106.50,IBM,6051200
16.037703,106.25,1990-03-13,108.25,106.25,107.50,IBM,8300800
16.037703,106.25,1990-03-14,107.00,105.625,106.875,IBM,4990800
16.15091,107.00,1990-03-15,107.375,106.50,106.625,IBM,5328000
16.396193,108.625,1990-03-16,108.75,107.375,107.75,IBM,10296400
16.452796,109.00,1990-03-19,109.125,107.375,108.125,IBM,6428800
16.301853,108.00,1990-03-20,109.375,107.875,108.875,IBM,7406400
16.188646,107.25,1990-03-21,108.50,107.125,108.50,IBM,3389200
16.075439,106.50,1990-03-22,107.50,105.50,107.00,IBM,4801200
15.849024,105.00,1990-03-23,106.125,104.875,106.00,IBM,4597600
15.716949,104.125,1990-03-26,105.75,104.125,105.50,IBM,3350000
15.773552,104.50,1990-03-27,104.75,103.375,103.625,IBM,5292800
15.981099,105.875,1990-03-28,105.875,103.75,104.25,IBM,5824400
15.999967,106.00,1990-03-29,106.875,105.75,106.00,IBM,5656800
16.018835,106.125,1990-03-30,106.75,105.625,106.375,IBM,5704000
15.981099,105.875,1990-04-02,105.875,105.00,105.125,IBM,5193200
16.094306,106.625,1990-04-03,106.75,106.00,106.00,IBM,4201600
16.075439,106.50,1990-04-04,107.75,105.875,106.625,IBM,6864800
16.018835,106.125,1990-04-05,106.875,105.875,106.75,IBM,3473600
15.981099,105.875,1990-04-06,106.375,105.25,106.25,IBM,3009200
15.924496,105.50,1990-04-09,105.875,105.25,105.625,IBM,3131200
15.981099,105.875,1990-04-10,106.375,105.125,105.25,IBM,3739200
16.056571,106.375,1990-04-11,106.50,105.875,106.125,IBM,2580800
16.169778,107.125,1990-04-12,108.00,107.00,107.125,IBM,3686400
16.735815,110.875,1990-04-16,111.25,110.00,110.00,IBM,16482800
16.77355,111.125,1990-04-17,111.25,109.875,110.50,IBM,7657600
16.584872,109.875,1990-04-18,110.875,109.50,110.875,IBM,6124000
16.471664,109.125,1990-04-19,110.25,109.125,109.50,IBM,6110000
16.5094,109.375,1990-04-20,109.50,108.25,109.375,IBM,6626000
16.5094,109.375,1990-04-23,109.50,108.625,109.00,IBM,5400800
16.433928,108.875,1990-04-24,110.375,108.875,109.625,IBM,5226400
16.5094,109.375,1990-04-25,110.125,109.125,109.25,IBM,4693600
16.415061,108.75,1990-04-26,110.00,108.50,109.875,IBM,5529200
16.207514,107.375,1990-04-27,109.00,107.375,109.00,IBM,3926400
16.452796,109.00,1990-04-30,109.25,107.00,107.00,IBM,6451600
16.301853,108.00,1990-05-01,109.625,107.875,109.50,IBM,4664800
16.471664,109.125,1990-05-02,109.125,108.00,108.00,IBM,4866400
16.490532,109.25,1990-05-03,110.125,109.125,109.50,IBM,6674800
